 Number | Obsoleted |        Reference
RFC0464 |           | Kudlick, M., "Resource notebook framework", RFC 464, DOI 10.17487/RFC0464, February 1973, <https://www.rfc-editor.org/info/rfc464>.
RFC0466 |           | Winett, J., "Telnet logger/server for host LL-67", RFC 466, DOI 10.17487/RFC0466, February 1973, <https://www.rfc-editor.org/info/rfc466>.
RFC0467 |           | Burchfiel, J. and R. Tomlinson, "Proposed change to Host-Host Protocol: Resynchronization of connection status", RFC 467, DOI 10.17487/RFC0467, February 1973, <https://www.rfc-editor.org/info/rfc467>.
RFC0468 |           | Braden, R., "FTP data compression", RFC 468, DOI 10.17487/RFC0468, March 1973, <https://www.rfc-editor.org/info/rfc468>.
RFC0469 |           | Kudlick, M., "Network mail meeting summary", RFC 469, DOI 10.17487/RFC0469, March 1973, <https://www.rfc-editor.org/info/rfc469>.
RFC0470 |           | Thomas, R., "Change in socket for TIP news facility", RFC 470, DOI 10.17487/RFC0470, March 1973, <https://www.rfc-editor.org/info/rfc470>.
RFC0471 |           | Thomas, R., "Workshop on multi-site executive programs", RFC 471, DOI 10.17487/RFC0471, March 1973, <https://www.rfc-editor.org/info/rfc471>.
RFC0472 |           | Bunch, S., "Illinois' reply to Maxwell's request for graphics information (NIC 14925)", RFC 472, DOI 10.17487/RFC0472, March 1973, <https://www.rfc-editor.org/info/rfc472>.
RFC0473 |           | Walden, D., "MIX and MIXAL?", RFC 473, DOI 10.17487/RFC0473, February 1973, <https://www.rfc-editor.org/info/rfc473>.
RFC0474 |           | Bunch, S., "Announcement of NGWG meeting: Call for papers", RFC 474, DOI 10.17487/RFC0474, March 1973, <https://www.rfc-editor.org/info/rfc474>.
RFC0475 |           | Bhushan, A., "FTP and Network Mail System", RFC 475, DOI 10.17487/RFC0475, March 1973, <https://www.rfc-editor.org/info/rfc475>.
RFC0476 |           | McKenzie, A., "IMP/TIP memory retrofit schedule (rev 2)", RFC 476, DOI 10.17487/RFC0476, March 1973, <https://www.rfc-editor.org/info/rfc476>.
RFC0477 |           | Krilanovich, M., "Remote Job Service at UCSB", RFC 477, DOI 10.17487/RFC0477, May 1973, <https://www.rfc-editor.org/info/rfc477>.
RFC0478 |           | Bressler, R. and R. Thomas, "FTP server-server interaction - II", RFC 478, DOI 10.17487/RFC0478, March 1973, <https://www.rfc-editor.org/info/rfc478>.
RFC0479 |           | White, J., "Use of FTP by the NIC Journal", RFC 479, DOI 10.17487/RFC0479, March 1973, <https://www.rfc-editor.org/info/rfc479>.
RFC0480 |           | White, J., "Host-dependent FTP parameters", RFC 480, DOI 10.17487/RFC0480, March 1973, <https://www.rfc-editor.org/info/rfc480>.
RFC0482 |           | McKenzie, A., "Traffic statistics (February 1973)", RFC 482, DOI 10.17487/RFC0482, March 1973, <https://www.rfc-editor.org/info/rfc482>.
RFC0483 |           | Kudlick, M., "Cancellation of the resource notebook framework meeting", RFC 483, DOI 10.17487/RFC0483, March 1973, <https://www.rfc-editor.org/info/rfc483>.
RFC0485 |           | Pickens, J., "MIX and MIXAL at UCSB", RFC 485, DOI 10.17487/RFC0485, March 1973, <https://www.rfc-editor.org/info/rfc485>.
RFC0486 |           | Bressler, R., "Data transfer revisited", RFC 486, DOI 10.17487/RFC0486, March 1973, <https://www.rfc-editor.org/info/rfc486>.
RFC0487 |           | Bressler, R., "Free file transfer", RFC 487, DOI 10.17487/RFC0487, April 1973, <https://www.rfc-editor.org/info/rfc487>.
RFC0488 |           | Auerbach, M., "NLS classes at network sites", RFC 488, DOI 10.17487/RFC0488, March 1973, <https://www.rfc-editor.org/info/rfc488>.
RFC0489 |           | Postel, J., "Comment on resynchronization of connection status proposal", RFC 489, DOI 10.17487/RFC0489, March 1973, <https://www.rfc-editor.org/info/rfc489>.
RFC0490 |           | Pickens, J., "Surrogate RJS for UCLA-CCN", RFC 490, DOI 10.17487/RFC0490, March 1973, <https://www.rfc-editor.org/info/rfc490>.
RFC0491 |           | Padlipsky, M., "What is "Free"?", RFC 491, DOI 10.17487/RFC0491, April 1973, <https://www.rfc-editor.org/info/rfc491>.
RFC0492 |           | Meyer, E., "Response to RFC 467", RFC 492, DOI 10.17487/RFC0492, April 1973, <https://www.rfc-editor.org/info/rfc492>.
RFC0493 |           | Michener, J., Cotton, I., Kelley, K., Liddle, D., and E. Meyer, "GRAPHICS PROTOCOL", RFC 493, DOI 10.17487/RFC0493, April 1973, <https://www.rfc-editor.org/info/rfc493>.
RFC0494 |           | Walden, D., "Availability of MIX and MIXAL in the Network", RFC 494, DOI 10.17487/RFC0494, April 1973, <https://www.rfc-editor.org/info/rfc494>.
RFC0495 |           | McKenzie, A., "Telnet Protocol specifications", RFC 495, DOI 10.17487/RFC0495, May 1973, <https://www.rfc-editor.org/info/rfc495>.
RFC0496 |           | Auerbach, M., "TNLS quick reference card is available", RFC 496, DOI 10.17487/RFC0496, April 1973, <https://www.rfc-editor.org/info/rfc496>.
RFC0497 |           | McKenzie, A., "Traffic Statistics (March 1973)", RFC 497, DOI 10.17487/RFC0497, April 1973, <https://www.rfc-editor.org/info/rfc497>.
RFC0498 |           | Braden, R., "On mail service to CCN", RFC 498, DOI 10.17487/RFC0498, April 1973, <https://www.rfc-editor.org/info/rfc498>.
RFC0499 |           | Reussow, B., "Harvard's network RJE", RFC 499, DOI 10.17487/RFC0499, April 1973, <https://www.rfc-editor.org/info/rfc499>.
RFC0500 |           | Shoshani, A. and I. Spiegler, "Integration of data management systems on a computer network", RFC 500, DOI 10.17487/RFC0500, April 1973, <https://www.rfc-editor.org/info/rfc500>.
RFC0501 |           | Pogran, K., "Un-muddling "free file transfer"", RFC 501, DOI 10.17487/RFC0501, May 1973, <https://www.rfc-editor.org/info/rfc501>.
RFC0503 |   RFC0739 | Neigus, N. and J. Postel, "Socket number list", RFC 503, DOI 10.17487/RFC0503, April 1973, <https://www.rfc-editor.org/info/rfc503>.
RFC0504 |           | Thomas, R., "Distributed resources workshop announcement", RFC 504, DOI 10.17487/RFC0504, April 1973, <https://www.rfc-editor.org/info/rfc504>.
RFC0505 |           | Padlipsky, M., "Two solutions to a file transfer access problem", RFC 505, DOI 10.17487/RFC0505, June 1973, <https://www.rfc-editor.org/info/rfc505>.
RFC0506 |           | Padlipsky, M., "FTP command naming problem", RFC 506, DOI 10.17487/RFC0506, June 1973, <https://www.rfc-editor.org/info/rfc506>.
RFC0508 |           | Pfeifer, L. and J. McAfee, "Real-time data transmission on the ARPANET", RFC 508, DOI 10.17487/RFC0508, May 1973, <https://www.rfc-editor.org/info/rfc508>.
RFC0509 |           | McKenzie, A., "Traffic statistics (April 1973)", RFC 509, DOI 10.17487/RFC0509, April 1973, <https://www.rfc-editor.org/info/rfc509>.
RFC0510 |           | White, J., "Request for network mailbox addresses", RFC 510, DOI 10.17487/RFC0510, May 1973, <https://www.rfc-editor.org/info/rfc510>.
RFC0511 |           | North, J., "Enterprise phone service to NIC from ARPANET sites", RFC 511, DOI 10.17487/RFC0511, May 1973, <https://www.rfc-editor.org/info/rfc511>.
RFC0512 |           | Hathaway, W., "More on lost message detection", RFC 512, DOI 10.17487/RFC0512, May 1973, <https://www.rfc-editor.org/info/rfc512>.
RFC0513 |           | Hathaway, W., "Comments on the new Telnet specifications", RFC 513, DOI 10.17487/RFC0513, May 1973, <https://www.rfc-editor.org/info/rfc513>.
RFC0514 |           | Kantrowitz, W., "Network make-work", RFC 514, DOI 10.17487/RFC0514, June 1973, <https://www.rfc-editor.org/info/rfc514>.
RFC0515 |           | Winter, R., "Specifications for Datalanguage, Version 0/9", RFC 515, DOI 10.17487/RFC0515, June 1973, <https://www.rfc-editor.org/info/rfc515>.
RFC0516 |           | Postel, J., "Lost message detection", RFC 516, DOI 10.17487/RFC0516, May 1973, <https://www.rfc-editor.org/info/rfc516>.
RFC0518 |           | Vaughan, N. and E. Feinler, "ARPANET accounts", RFC 518, DOI 10.17487/RFC0518, June 1973, <https://www.rfc-editor.org/info/rfc518>.
RFC0519 |           | Pickens, J., "Resource Evaluation", RFC 519, DOI 10.17487/RFC0519, June 1973, <https://www.rfc-editor.org/info/rfc519>.
RFC0520 |           | Day, J., "Memo to FTP group: Proposal for File Access Protocol", RFC 520, DOI 10.17487/RFC0520, June 1973, <https://www.rfc-editor.org/info/rfc520>.
RFC0521 |           | McKenzie, A., "Restricted use of IMP DDT", RFC 521, DOI 10.17487/RFC0521, May 1973, <https://www.rfc-editor.org/info/rfc521>.
RFC0522 |           | McKenzie, A., "Traffic Statistics (May 1973)", RFC 522, DOI 10.17487/RFC0522, June 1973, <https://www.rfc-editor.org/info/rfc522>.
RFC0523 |           | Bhushan, A., "SURVEY is in operation again", RFC 523, DOI 10.17487/RFC0523, June 1973, <https://www.rfc-editor.org/info/rfc523>.
RFC0524 |           | White, J., "Proposed Mail Protocol", RFC 524, DOI 10.17487/RFC0524, June 1973, <https://www.rfc-editor.org/info/rfc524>.
RFC0525 |           | Parrish, W. and J. Pickens, "MIT-MATHLAB meets UCSB-OLS -an example of resource sharing", RFC 525, DOI 10.17487/RFC0525, June 1973, <https://www.rfc-editor.org/info/rfc525>.
RFC0526 |           | Pratt, W., "Technical meeting: Digital image processing software systems", RFC 526, DOI 10.17487/RFC0526, June 1973, <https://www.rfc-editor.org/info/rfc526>.
RFC0527 |           | Merryman, R., "ARPAWOCKY", RFC 527, DOI 10.17487/RFC0527, May 1973, <https://www.rfc-editor.org/info/rfc527>.
RFC0528 |           | McQuillan, J., "Software checksumming in the IMP and network reliability", RFC 528, DOI 10.17487/RFC0528, June 1973, <https://www.rfc-editor.org/info/rfc528>.
RFC0529 |           | McKenzie, A., Thomas, R., Tomlinson, R., and K. Pogran, "Note on protocol synch sequences", RFC 529, DOI 10.17487/RFC0529, June 1973, <https://www.rfc-editor.org/info/rfc529>.
RFC0530 |           | Bhushan, A., "Report on the Survey Project", RFC 530, DOI 10.17487/RFC0530, June 1973, <https://www.rfc-editor.org/info/rfc530>.
RFC0531 |           | Padlipsky, M., "Feast or famine? A response to two recent RFC's about network information", RFC 531, DOI 10.17487/RFC0531, June 1973, <https://www.rfc-editor.org/info/rfc531>.
RFC0532 |           | Merryman, R., "UCSD-CC Server-FTP facility", RFC 532, DOI 10.17487/RFC0532, July 1973, <https://www.rfc-editor.org/info/rfc532>.
RFC0533 |           | Walden, D., "Message-ID numbers", RFC 533, DOI 10.17487/RFC0533, July 1973, <https://www.rfc-editor.org/info/rfc533>.
RFC0534 |           | Walden, D., "Lost message detection", RFC 534, DOI 10.17487/RFC0534, July 1973, <https://www.rfc-editor.org/info/rfc534>.
RFC0535 |           | Thomas, R., "Comments on File Access Protocol", RFC 535, DOI 10.17487/RFC0535, July 1973, <https://www.rfc-editor.org/info/rfc535>.
RFC0537 |           | Bunch, S., "Announcement of NGG meeting July 16-17", RFC 537, DOI 10.17487/RFC0537, June 1973, <https://www.rfc-editor.org/info/rfc537>.
RFC0538 |           | McKenzie, A., "Traffic statistics (June 1973)", RFC 538, DOI 10.17487/RFC0538, July 1973, <https://www.rfc-editor.org/info/rfc538>.
RFC0539 |           | Crocker, D. and J. Postel, "Thoughts on the mail protocol proposed in RFC 524", RFC 539, DOI 10.17487/RFC0539, July 1973, <https://www.rfc-editor.org/info/rfc539>.
RFC0542 |   RFC0765 | Neigus, N., "File Transfer Protocol", RFC 542, DOI 10.17487/RFC0542, August 1973, <https://www.rfc-editor.org/info/rfc542>.
RFC0543 |           | Meyer, N., "Network journal submission and delivery", RFC 543, DOI 10.17487/RFC0543, July 1973, <https://www.rfc-editor.org/info/rfc543>.
RFC0544 |           | Meyer, N. and K. Kelley, "Locating on-line documentation at SRI-ARC", RFC 544, DOI 10.17487/RFC0544, July 1973, <https://www.rfc-editor.org/info/rfc544>.
RFC0545 |           | Pickens, J., "Of what quality be the UCSB resources evaluators?", RFC 545, DOI 10.17487/RFC0545, July 1973, <https://www.rfc-editor.org/info/rfc545>.
RFC0546 |           | Thomas, R., "Tenex load averages for July 1973", RFC 546, DOI 10.17487/RFC0546, August 1973, <https://www.rfc-editor.org/info/rfc546>.
RFC0547 |           | Walden, D., "Change to the Very Distant Host specification", RFC 547, DOI 10.17487/RFC0547, August 1973, <https://www.rfc-editor.org/info/rfc547>.
RFC0548 |           | Walden, D., "Hosts using the IMP Going Down message", RFC 548, DOI 10.17487/RFC0548, August 1973, <https://www.rfc-editor.org/info/rfc548>.
RFC0549 |           | Michener, J., "Minutes of Network Graphics Group meeting, 15-17 July 1973", RFC 549, DOI 10.17487/RFC0549, July 1973, <https://www.rfc-editor.org/info/rfc549>.
RFC0550 |           | Deutsch, L., "NIC NCP experiment", RFC 550, DOI 10.17487/RFC0550, August 1973, <https://www.rfc-editor.org/info/rfc550>.
RFC0551 |           | Feinroth, Y. and R. Fink, "NYU, ANL, and LBL Joining the Net", RFC 551, DOI 10.17487/RFC0551, August 1973, <https://www.rfc-editor.org/info/rfc551>.
RFC0552 |           | Owen, A., "Single access to standard protocols", RFC 552, DOI 10.17487/RFC0552, July 1973, <https://www.rfc-editor.org/info/rfc552>.
RFC0553 |           | Irby, C. and K. Victor, "Draft design for a text/graphics protocol", RFC 553, DOI 10.17487/RFC0553, July 1973, <https://www.rfc-editor.org/info/rfc553>.
RFC0555 |           | White, J., "Responses to critiques of the proposed mail protocol", RFC 555, DOI 10.17487/RFC0555, July 1973, <https://www.rfc-editor.org/info/rfc555>.
RFC0556 |           | McKenzie, A., "Traffic Statistics (July 1973)", RFC 556, DOI 10.17487/RFC0556, August 1973, <https://www.rfc-editor.org/info/rfc556>.
RFC0557 |           | Wessler, B., "REVELATIONS IN NETWORK HOST MEASUREMENTS", RFC 557, DOI 10.17487/RFC0557, August 1973, <https://www.rfc-editor.org/info/rfc557>.
RFC0559 |           | Bushan, A., "Comments on The New Telnet Protocol and its Implementation", RFC 559, DOI 10.17487/RFC0559, August 1973, <https://www.rfc-editor.org/info/rfc559>.
RFC0560 |           | Crocker, D. and J. Postel, "Remote Controlled Transmission and Echoing Telnet option", RFC 560, DOI 10.17487/RFC0560, August 1973, <https://www.rfc-editor.org/info/rfc560>.
RFC0561 |           | Bhushan, A., Pogran, K., Tomlinson, R., and J. White, "Standardizing Network Mail Headers", RFC 561, DOI 10.17487/RFC0561, September 1973, <https://www.rfc-editor.org/info/rfc561>.
RFC0562 |           | McKenzie, A., "Modifications to the TELNET Specification", RFC 562, DOI 10.17487/RFC0562, August 1973, <https://www.rfc-editor.org/info/rfc562>.
RFC0563 |           | Davidson, J., "Comments on the RCTE Telnet option", RFC 563, DOI 10.17487/RFC0563, August 1973, <https://www.rfc-editor.org/info/rfc563>.
RFC0565 |           | Cantor, D., "Storing network survey data at the datacomputer", RFC 565, DOI 10.17487/RFC0565, August 1973, <https://www.rfc-editor.org/info/rfc565>.
RFC0566 |           | McKenzie, A., "Traffic statistics (August 1973)", RFC 566, DOI 10.17487/RFC0566, September 1973, <https://www.rfc-editor.org/info/rfc566>.
RFC0567 |           | Deutsch, L., "Cross Country Network Bandwidth", RFC 567, DOI 10.17487/RFC0567, September 1973, <https://www.rfc-editor.org/info/rfc567>.
RFC0568 |           | McQuillan, J., "Response to RFC 567 - cross country network bandwidth", RFC 568, DOI 10.17487/RFC0568, September 1973, <https://www.rfc-editor.org/info/rfc568>.
RFC0569 |           | Padlipsky, M., "NETED: A Common Editor for the ARPA Network", RFC 569, DOI 10.17487/RFC0569, October 1973, <https://www.rfc-editor.org/info/rfc569>.
RFC0570 |           | Pickens, J., "Experimental input mapping between NVT ASCII and UCSB On Line System", RFC 570, DOI 10.17487/RFC0570, October 1973, <https://www.rfc-editor.org/info/rfc570>.
RFC0571 |           | Braden, R., "TENEX FTP PROBLEM", RFC 571, DOI 10.17487/RFC0571, November 1973, <https://www.rfc-editor.org/info/rfc571>.
RFC0573 |           | Bhushan, A., "DATA AND FILE TRANSFER - SOME MEASUREMENT RESULTS", RFC 573, DOI 10.17487/RFC0573, September 1973, <https://www.rfc-editor.org/info/rfc573>.
RFC0574 |           | Krilanovich, M., "Announcement of a Mail Facility at UCSB", RFC 574, DOI 10.17487/RFC0574, September 1973, <https://www.rfc-editor.org/info/rfc574>.
RFC0576 |           | Victor, K., "Proposal for modifying linking", RFC 576, DOI 10.17487/RFC0576, September 1973, <https://www.rfc-editor.org/info/rfc576>.
RFC0577 |           | Crocker, D., "Mail priority", RFC 577, DOI 10.17487/RFC0577, October 1973, <https://www.rfc-editor.org/info/rfc577>.
RFC0578 |           | Bhushan, A. and N. Ryan, "Using MIT-Mathlab MACSYMA from MIT-DMS Muddle", RFC 578, DOI 10.17487/RFC0578, October 1973, <https://www.rfc-editor.org/info/rfc578>.
RFC0579 |           | McKenzie, A., "Traffic statistics (September 1973)", RFC 579, DOI 10.17487/RFC0579, November 1973, <https://www.rfc-editor.org/info/rfc579>.
RFC0580 |           | Postel, J., "Note to Protocol Designers and Implementers", RFC 580, DOI 10.17487/RFC0580, October 1973, <https://www.rfc-editor.org/info/rfc580>.
RFC0581 |           | Crocker, D. and J. Postel, "Corrections to RFC 560: Remote Controlled Transmission and Echoing Telnet Option", RFC 581, DOI 10.17487/RFC0581, November 1973, <https://www.rfc-editor.org/info/rfc581>.
RFC0582 |           | Clements, R., "Comments on RFC 580: Machine readable protocols", RFC 582, DOI 10.17487/RFC0582, November 1973, <https://www.rfc-editor.org/info/rfc582>.
RFC0584 |           | Iseli, J., Crocker, D., and N. Neigus, "Charter for ARPANET Users Interest Working Group", RFC 584, DOI 10.17487/RFC0584, November 1973, <https://www.rfc-editor.org/info/rfc584>.
RFC0585 |           | Crocker, D., Neigus, N., Feinler, E., and J. Iseli, "ARPANET users interest working group meeting", RFC 585, DOI 10.17487/RFC0585, November 1973, <https://www.rfc-editor.org/info/rfc585>.
RFC0586 |           | McKenzie, A., "Traffic statistics (October 1973)", RFC 586, DOI 10.17487/RFC0586, November 1973, <https://www.rfc-editor.org/info/rfc586>.
RFC0587 |           | Postel, J., "Announcing New Telnet Options", RFC 587, DOI 10.17487/RFC0587, November 1973, <https://www.rfc-editor.org/info/rfc587>.
RFC0588 |           | Stokes, A., "London Node Is Now Up", RFC 588, DOI 10.17487/RFC0588, October 1973, <https://www.rfc-editor.org/info/rfc588>.
RFC0589 |           | Braden, R., "CCN NETRJS server messages to remote user", RFC 589, DOI 10.17487/RFC0589, November 1973, <https://www.rfc-editor.org/info/rfc589>.
RFC0590 |           | Padlipsky, M., "MULTICS address change", RFC 590, DOI 10.17487/RFC0590, November 1973, <https://www.rfc-editor.org/info/rfc590>.
RFC0591 |           | Walden, D., "Addition to the Very Distant Host specifications", RFC 591, DOI 10.17487/RFC0591, November 1973, <https://www.rfc-editor.org/info/rfc591>.
RFC0592 |           | Watson, R., "Some thoughts on system design to facilitate resource sharing", RFC 592, DOI 10.17487/RFC0592, November 1973, <https://www.rfc-editor.org/info/rfc592>.
RFC0593 |           | McKenzie, A. and J. Postel, "Telnet and FTP implementation schedule change", RFC 593, DOI 10.17487/RFC0593, November 1973, <https://www.rfc-editor.org/info/rfc593>.
RFC0594 |           | Burchfiel, J., "Speedup of Host-IMP interface", RFC 594, DOI 10.17487/RFC0594, December 1973, <https://www.rfc-editor.org/info/rfc594>.
RFC0595 |           | Hathaway, W., "Second thoughts in defense of the Telnet Go-Ahead", RFC 595, DOI 10.17487/RFC0595, December 1973, <https://www.rfc-editor.org/info/rfc595>.
RFC0596 |           | Taft, E., "Second thoughts on Telnet Go-Ahead", RFC 596, DOI 10.17487/RFC0596, December 1973, <https://www.rfc-editor.org/info/rfc596>.
RFC0597 |           | Neigus, N. and E. Feinler, "Host status", RFC 597, DOI 10.17487/RFC0597, December 1973, <https://www.rfc-editor.org/info/rfc597>.
RFC0598 |           | Network Information Center. Stanford Research Institute, "RFC index - December 5, 1973", RFC 598, DOI 10.17487/RFC0598, December 1973, <https://www.rfc-editor.org/info/rfc598>.
RFC0599 |   RFC0740 | Braden, R., "Update on NETRJS", RFC 599, DOI 10.17487/RFC0599, December 1973, <https://www.rfc-editor.org/info/rfc599>.
RFC0600 |           | Berggreen, A., "Interfacing an Illinois plasma terminal to the ARPANET", RFC 600, DOI 10.17487/RFC0600, November 1973, <https://www.rfc-editor.org/info/rfc600>.
RFC0601 |           | McKenzie, A., "Traffic statistics (November 1973)", RFC 601, DOI 10.17487/RFC0601, December 1973, <https://www.rfc-editor.org/info/rfc601>.
RFC0602 |           | Metcalfe, R., ""The stockings were hung by the chimney with care"", RFC 602, DOI 10.17487/RFC0602, December 1973, <https://www.rfc-editor.org/info/rfc602>.
RFC0603 |           | Burchfiel, J., "Response to RFC 597: Host status", RFC 603, DOI 10.17487/RFC0603, December 1973, <https://www.rfc-editor.org/info/rfc603>.
RFC0604 |   RFC0739 | Postel, J., "Assigned link numbers", RFC 604, DOI 10.17487/RFC0604, December 1973, <https://www.rfc-editor.org/info/rfc604>.
RFC0606 |           | Deutsch, L., "Host names on-line", RFC 606, DOI 10.17487/RFC0606, December 1973, <https://www.rfc-editor.org/info/rfc606>.
RFC0607 |   RFC0624 | Krilanovich, M. and G. Gregg, "Comments on the File Transfer Protocol", RFC 607, DOI 10.17487/RFC0607, January 1974, <https://www.rfc-editor.org/info/rfc607>.
RFC0608 |   RFC0810 | Kudlick, M., "Host names on-line", RFC 608, DOI 10.17487/RFC0608, January 1974, <https://www.rfc-editor.org/info/rfc608>.
RFC0609 |           | Ferguson, B., "Statement of upcoming move of NIC/NLS service", RFC 609, DOI 10.17487/RFC0609, January 1974, <https://www.rfc-editor.org/info/rfc609>.
RFC0610 |           | Winter, R., Hill, J., and W. Greiff, "Further datalanguage design concepts", RFC 610, DOI 10.17487/RFC0610, December 1973, <https://www.rfc-editor.org/info/rfc610>.
RFC0611 |           | Walden, D., "Two changes to the IMP/Host Protocol to improve user/network communications", RFC 611, DOI 10.17487/RFC0611, February 1974, <https://www.rfc-editor.org/info/rfc611>.
RFC0612 |           | McKenzie, A., "Traffic statistics (December 1973)", RFC 612, DOI 10.17487/RFC0612, January 1974, <https://www.rfc-editor.org/info/rfc612>.
RFC0613 |           | McKenzie, A., "Network connectivity: A response to RFC 603", RFC 613, DOI 10.17487/RFC0613, January 1974, <https://www.rfc-editor.org/info/rfc613>.
RFC0614 |           | Pogran, K. and N. Neigus, "Response to RFC 607: "Comments on the File Transfer Protocol"", RFC 614, DOI 10.17487/RFC0614, January 1974, <https://www.rfc-editor.org/info/rfc614>.
RFC0615 |   RFC0645 | Crocker, D., "Proposed Network Standard Data Pathname syntax", RFC 615, DOI 10.17487/RFC0615, March 1974, <https://www.rfc-editor.org/info/rfc615>.
RFC0616 |           | Walden, D., "LATEST NETWORK MAPS", RFC 616, DOI 10.17487/RFC0616, February 1973, <https://www.rfc-editor.org/info/rfc616>.
RFC0617 |           | Taft, E., "Note on socket number assignment", RFC 617, DOI 10.17487/RFC0617, February 1974, <https://www.rfc-editor.org/info/rfc617>.
RFC0618 |           | Taft, E., "Few observations on NCP statistics", RFC 618, DOI 10.17487/RFC0618, February 1974, <https://www.rfc-editor.org/info/rfc618>.
RFC0619 |           | Naylor, W. and H. Opderbeck, "Mean round-trip times in the ARPANET", RFC 619, DOI 10.17487/RFC0619, March 1974, <https://www.rfc-editor.org/info/rfc619>.
RFC0620 |           | Ferguson, B., "Request for monitor host table updates", RFC 620, DOI 10.17487/RFC0620, March 1974, <https://www.rfc-editor.org/info/rfc620>.
RFC0621 |           | Kudlick, M., "NIC user directories at SRI ARC", RFC 621, DOI 10.17487/RFC0621, March 1974, <https://www.rfc-editor.org/info/rfc621>.
RFC0622 |           | McKenzie, A., "Scheduling IMP/TIP down time", RFC 622, DOI 10.17487/RFC0622, March 1974, <https://www.rfc-editor.org/info/rfc622>.
RFC0623 |           | Krilanovich, M., "Comments on on-line host name service", RFC 623, DOI 10.17487/RFC0623, February 1974, <https://www.rfc-editor.org/info/rfc623>.
RFC0624 |           | Krilanovich, M., Gregg, G., Hathaway, W., and J. White, "Comments on the File Transfer Protocol", RFC 624, DOI 10.17487/RFC0624, February 1974, <https://www.rfc-editor.org/info/rfc624>.
RFC0625 |           | Kudlick, M. and E. Feinler, "On-line hostnames service", RFC 625, DOI 10.17487/RFC0625, March 1974, <https://www.rfc-editor.org/info/rfc625>.
RFC0626 |           | Kleinrock, L. and H. Opderbeck, "On a possible lockup condition in IMP subnet due to message sequencing", RFC 626, DOI 10.17487/RFC0626, March 1974, <https://www.rfc-editor.org/info/rfc626>.
RFC0627 |           | Kudlick, M. and E. Feinler, "ASCII text file of hostnames", RFC 627, DOI 10.17487/RFC0627, March 1974, <https://www.rfc-editor.org/info/rfc627>.
RFC0628 |           | Keeney, M., "Status of RFC numbers and a note on pre-assigned journal numbers", RFC 628, DOI 10.17487/RFC0628, March 1974, <https://www.rfc-editor.org/info/rfc628>.
RFC0629 |           | North, J., "Scenario for using the Network Journal", RFC 629, DOI 10.17487/RFC0629, March 1974, <https://www.rfc-editor.org/info/rfc629>.
RFC0630 |           | Sussman, J., "FTP error code usage for more reliable mail service", RFC 630, DOI 10.17487/RFC0630, April 1974, <https://www.rfc-editor.org/info/rfc630>.
RFC0631 |           | Danthine, A., "International meeting on minicomputers and data communication: Call for papers", RFC 631, DOI 10.17487/RFC0631, April 1974, <https://www.rfc-editor.org/info/rfc631>.
RFC0632 |           | Opderbeck, H., "Throughput degradations for single packet messages", RFC 632, DOI 10.17487/RFC0632, May 1974, <https://www.rfc-editor.org/info/rfc632>.
RFC0633 |   RFC0638 | McKenzie, A., "IMP/TIP preventive maintenance schedule", RFC 633, DOI 10.17487/RFC0633, March 1974, <https://www.rfc-editor.org/info/rfc633>.
RFC0634 |           | McKenzie, A., "Change in network address for Haskins Lab", RFC 634, DOI 10.17487/RFC0634, April 1974, <https://www.rfc-editor.org/info/rfc634>.
RFC0635 |           | Cerf, V., "Assessment of ARPANET protocols", RFC 635, DOI 10.17487/RFC0635, April 1974, <https://www.rfc-editor.org/info/rfc635>.
RFC0636 |           | Burchfiel, J., Cosell, B., Tomlinson, R., and D. Walden, "TIP/Tenex reliability improvements", RFC 636, DOI 10.17487/RFC0636, June 1974, <https://www.rfc-editor.org/info/rfc636>.
RFC0637 |           | McKenzie, A., "Change of network address for SU-DSL", RFC 637, DOI 10.17487/RFC0637, April 1974, <https://www.rfc-editor.org/info/rfc637>.
RFC0638 |           | McKenzie, A., "IMP/TIP preventive maintenance schedule", RFC 638, DOI 10.17487/RFC0638, April 1974, <https://www.rfc-editor.org/info/rfc638>.
RFC0640 |           | Postel, J., "Revised FTP reply codes", RFC 640, DOI 10.17487/RFC0640, June 1974, <https://www.rfc-editor.org/info/rfc640>.
RFC0642 |           | Burchfiel, J., "Ready line philosophy and implementation", RFC 642, DOI 10.17487/RFC0642, July 1974, <https://www.rfc-editor.org/info/rfc642>.
RFC0643 |           | Mader, E., "Network Debugging Protocol", RFC 643, DOI 10.17487/RFC0643, July 1974, <https://www.rfc-editor.org/info/rfc643>.
RFC0644 |           | Thomas, R., "On the problem of signature authentication for network mail", RFC 644, DOI 10.17487/RFC0644, July 1974, <https://www.rfc-editor.org/info/rfc644>.
RFC0645 |           | Crocker, D., "Network Standard Data Specification syntax", RFC 645, DOI 10.17487/RFC0645, June 1974, <https://www.rfc-editor.org/info/rfc645>.
RFC0647 |           | Padlipsky, M., "Proposed protocol for connecting host computers to ARPA-like networks via front end processors", RFC 647, DOI 10.17487/RFC0647, November 1974, <https://www.rfc-editor.org/info/rfc647>.
RFC0651 |   RFC0859 | Crocker, D., "Revised Telnet status option", RFC 651, DOI 10.17487/RFC0651, October 1974, <https://www.rfc-editor.org/info/rfc651>.
RFC0652 |           | Crocker, D., "Telnet output carriage-return disposition option", RFC 652, DOI 10.17487/RFC0652, October 1974, <https://www.rfc-editor.org/info/rfc652>.
